extraction,dataset,layer,treatment,random_mean,random_lo,random_hi,randfix_mean,randfix_lo,randfix_hi,shuffled_mean,shuffled_lo,shuffled_hi,floor_mean_bag,gain_over_floor
mean,S2_1P,20,0.9065,0.4963,0.3995,0.6023,0.4958,0.3653,0.6248,0.4974,0.371,0.606,0.8715,0.035
mean,S2_1P,21,0.918,0.4969,0.406,0.597,0.502,0.3665,0.6488,0.4975,0.3742,0.6073,0.8715,0.0465
mean,S2_1P,22,0.907,0.5001,0.4097,0.5986,0.4943,0.3531,0.624,0.4971,0.37,0.608,0.8715,0.0355
mean,S2_1P,23,0.911,0.5019,0.4047,0.5983,0.5025,0.3585,0.6428,0.4971,0.3687,0.605,0.8715,0.0395
mean,S2_1P,24,0.9055,0.5029,0.4052,0.5895,0.5014,0.3419,0.642,0.4974,0.3669,0.6055,0.8715,0.034
mean,S2_1P,25,0.903,0.5013,0.4014,0.6076,0.5013,0.3439,0.6433,0.4969,0.3717,0.607,0.8715,0.0315
mean,S2_1P,26,0.912,0.4994,0.3811,0.6068,0.4998,0.3036,0.6953,0.503,0.3879,0.6061,0.8715,0.0405
mean,S2_1P,27,0.8975,0.5004,0.3932,0.6095,0.5007,0.2885,0.697,0.5019,0.388,0.5978,0.8715,0.026
mean,S2_3P,emb,0.882,0.4986,0.4215,0.5833,0.4954,0.3692,0.6083,0.5049,0.3852,0.611,0.882,0.0
mean,S2_3P,0,0.867,0.4997,0.3985,0.5908,0.5,0.3382,0.6598,0.5048,0.396,0.6148,0.882,-0.015
mean,S2_3P,1,0.8645,0.5008,0.4052,0.587,0.5034,0.4105,0.5915,0.5045,0.387,0.6093,0.882,-0.0175
mean,S2_3P,2,0.864,0.4988,0.4067,0.5863,0.5002,0.4325,0.5738,0.5046,0.3871,0.6095,0.882,-0.018
mean,S2_3P,3,0.88,0.5015,0.404,0.6015,0.5018,0.4289,0.5751,0.5033,0.3872,0.606,0.882,-0.002
mean,S2_3P,4,0.887,0.5027,0.4057,0.5988,0.5001,0.4162,0.572,0.5033,0.3824,0.603,0.882,0.005
mean,S2_3P,5,0.893,0.496,0.412,0.5915,0.4992,0.4177,0.5821,0.5031,0.3862,0.602,0.882,0.011
mean,S2_3P,6,0.8865,0.4983,0.4135,0.594,0.5003,0.4342,0.5843,0.5034,0.3854,0.6008,0.882,0.0045
mean,S2_3P,7,0.888,0.5002,0.4077,0.5978,0.4987,0.4184,0.5801,0.5032,0.3877,0.6045,0.882,0.006
mean,S2_3P,8,0.889,0.4973,0.4032,0.5938,0.5028,0.4242,0.5894,0.5033,0.3847,0.6044,0.882,0.007
mean,S2_3P,9,0.8885,0.5015,0.4017,0.5938,0.4996,0.406,0.5813,0.5022,0.3786,0.6035,0.882,0.0065
mean,S2_3P,10,0.9005,0.4986,0.4045,0.5936,0.5022,0.3972,0.6159,0.5016,0.3774,0.6055,0.882,0.0185
mean,S2_3P,11,0.9035,0.4981,0.4087,0.5933,0.4996,0.3956,0.5971,0.5014,0.3745,0.605,0.882,0.0215
mean,S2_3P,12,0.899,0.4972,0.4007,0.5971,0.5006,0.3934,0.5972,0.5012,0.3752,0.6053,0.882,0.017
mean,S2_3P,13,0.901,0.4956,0.4054,0.589,0.5009,0.4027,0.6071,0.5006,0.3754,0.6035,0.882,0.019
mean,S2_3P,14,0.897,0.4987,0.3985,0.6005,0.4986,0.3952,0.6086,0.5006,0.3705,0.6066,0.882,0.015
mean,S2_3P,15,0.8985,0.5013,0.4077,0.5858,0.5026,0.4097,0.6098,0.5001,0.3757,0.6078,0.882,0.0165
mean,S2_3P,16,0.898,0.5012,0.4047,0.5955,0.5021,0.3996,0.6095,0.499,0.3752,0.6095,0.882,0.016
mean,S2_3P,17,0.8945,0.4951,0.4022,0.5936,0.5005,0.3835,0.6049,0.4992,0.3765,0.6154,0.882,0.0125
mean,S2_3P,18,0.885,0.4983,0.3951,0.5944,0.5014,0.3904,0.616,0.5002,0.3679,0.6165,0.882,0.003
mean,S2_3P,19,0.8935,0.5019,0.4067,0.5978,0.4976,0.378,0.6061,0.5002,0.3755,0.6121,0.882,0.0115
mean,S2_3P,20,0.9015,0.4959,0.3975,0.5998,0.4974,0.3674,0.6248,0.5002,0.3757,0.614,0.882,0.0195
mean,S2_3P,21,0.9065,0.4976,0.4045,0.5974,0.5026,0.3779,0.6345,0.4992,0.3817,0.609,0.882,0.0245
mean,S2_3P,22,0.9005,0.5004,0.405,0.5956,0.4939,0.3605,0.6198,0.4993,0.3787,0.611,0.882,0.0185
mean,S2_3P,23,0.9045,0.5025,0.4067,0.6008,0.5035,0.3626,0.6365,0.4995,0.3781,0.604,0.882,0.0225
mean,S2_3P,24,0.901,0.5011,0.4057,0.592,0.5018,0.3534,0.6288,0.4998,0.3835,0.6056,0.882,0.019
mean,S2_3P,25,0.899,0.5003,0.4015,0.6078,0.5021,0.3547,0.6395,0.4998,0.38,0.6028,0.882,0.017
mean,S2_3P,26,0.8975,0.4999,0.3895,0.603,0.4988,0.308,0.6858,0.5044,0.3987,0.6063,0.882,0.0155
mean,S2_3P,27,0.893,0.5001,0.3907,0.6091,0.5003,0.3004,0.6868,0.5043,0.3955,0.5985,0.882,0.011
