model,extraction,dataset,layer,auc_vs_all_controls,auc_vs_neutral,auc_std
Qwen2.5-1.5B-Instruct,final_token,S2_3P,24,0.916,0.8175000000000001,0.05997082624076477
Qwen2.5-1.5B-Instruct,final_token,S2_3P,25,0.917,0.8089999999999999,0.0562227711874824
Qwen2.5-1.5B-Instruct,final_token,S2_3P,26,0.9275,0.8205,0.05326818938165631
Qwen2.5-1.5B-Instruct,final_token,S2_3P,27,0.9215000000000002,0.8135,0.06088103152871176
Qwen2.5-1.5B-Instruct,final_token,S1_1P,0,0.7310000000000001,0.7725,0.03642114770294867
Qwen2.5-1.5B-Instruct,final_token,S1_1P,1,0.7785,0.7575,0.052024032907878284
Qwen2.5-1.5B-Instruct,final_token,S1_1P,2,0.7790000000000001,0.7345,0.05474029594366477
Qwen2.5-1.5B-Instruct,final_token,S1_1P,3,0.7995,0.7375,0.044927719728470546
Qwen2.5-1.5B-Instruct,final_token,S1_1P,4,0.7979999999999999,0.7409999999999999,0.04662081080376016
Qwen2.5-1.5B-Instruct,final_token,S1_1P,5,0.7915,0.7809999999999999,0.046706530592626964
Qwen2.5-1.5B-Instruct,final_token,S1_1P,6,0.7705,0.765,0.03960429269662573
Qwen2.5-1.5B-Instruct,final_token,S1_1P,7,0.7910000000000001,0.7635,0.03288616730481069
Qwen2.5-1.5B-Instruct,final_token,S1_1P,8,0.7765000000000001,0.7665,0.029051678092667885
Qwen2.5-1.5B-Instruct,final_token,S1_1P,9,0.7854999999999999,0.754,0.03171750305430743
Qwen2.5-1.5B-Instruct,final_token,S1_1P,10,0.8200000000000001,0.758,0.04716990566028301
Qwen2.5-1.5B-Instruct,final_token,S1_1P,11,0.8089999999999999,0.7745,0.02327015255644018
Qwen2.5-1.5B-Instruct,final_token,S1_1P,12,0.7935000000000001,0.7555,0.05316483800407933
Qwen2.5-1.5B-Instruct,final_token,S1_1P,13,0.8140000000000001,0.778,0.04813003220443553
Qwen2.5-1.5B-Instruct,final_token,S1_1P,14,0.8245000000000001,0.7689999999999999,0.04768123320552858
Qwen2.5-1.5B-Instruct,final_token,S1_1P,15,0.8505,0.797,0.0396673669405974
Qwen2.5-1.5B-Instruct,final_token,S1_1P,16,0.849,0.8059999999999998,0.034227182180249664
Qwen2.5-1.5B-Instruct,final_token,S1_1P,17,0.842,0.807,0.046754678910243826
Qwen2.5-1.5B-Instruct,final_token,S1_1P,18,0.8424999999999999,0.8035,0.03357826678076163
Qwen2.5-1.5B-Instruct,final_token,S1_1P,19,0.8400000000000001,0.792,0.03768288736283359
Qwen2.5-1.5B-Instruct,final_token,S1_1P,20,0.8615,0.7965000000000001,0.0474499736564732
Qwen2.5-1.5B-Instruct,final_token,S1_1P,21,0.8574999999999999,0.7985,0.04318564576337836
Qwen2.5-1.5B-Instruct,final_token,S1_1P,22,0.8564999999999999,0.7935,0.03669468626381755
Qwen2.5-1.5B-Instruct,final_token,S1_1P,23,0.86,0.7855,0.031024184114977132
Qwen2.5-1.5B-Instruct,final_token,S1_1P,24,0.8630000000000001,0.7695000000000001,0.03321897048374619
Qwen2.5-1.5B-Instruct,final_token,S1_1P,25,0.868,0.7729999999999999,0.03447462835187638
Qwen2.5-1.5B-Instruct,final_token,S1_1P,26,0.8634999999999999,0.774,0.031208973068654458
Qwen2.5-1.5B-Instruct,final_token,S1_1P,27,0.875,0.7825,0.022803508501982716
Qwen2.5-1.5B-Instruct,final_token,S1_3P,0,0.778,0.7965,0.03991866731242413
Qwen2.5-1.5B-Instruct,final_token,S1_3P,1,0.7915,0.788,0.020772578077840994
Qwen2.5-1.5B-Instruct,final_token,S1_3P,2,0.7445,0.768,0.05756300895540472
Qwen2.5-1.5B-Instruct,final_token,S1_3P,3,0.7899999999999999,0.7575000000000001,0.03595135602449508
Qwen2.5-1.5B-Instruct,final_token,S1_3P,4,0.7535000000000001,0.741,0.03945250308915772
Qwen2.5-1.5B-Instruct,final_token,S1_3P,5,0.7585000000000001,0.7789999999999999,0.057349803835758696
Qwen2.5-1.5B-Instruct,final_token,S1_3P,6,0.7915,0.79,0.043260836792646536
Qwen2.5-1.5B-Instruct,final_token,S1_3P,7,0.808,0.7874999999999999,0.050655700567655795
Qwen2.5-1.5B-Instruct,final_token,S1_3P,8,0.8385,0.7835,0.06510760324263218
Qwen2.5-1.5B-Instruct,final_token,S1_3P,9,0.829,0.792,0.04961350622562366
Qwen2.5-1.5B-Instruct,final_token,S1_3P,10,0.836,0.8025,0.05061126356849825
Qwen2.5-1.5B-Instruct,final_token,S1_3P,11,0.8560000000000001,0.8025,0.037868192457522994
Qwen2.5-1.5B-Instruct,final_token,S1_3P,12,0.852,0.789,0.04963365793491347
Qwen2.5-1.5B-Instruct,final_token,S1_3P,13,0.8925000000000001,0.799,0.0488108594474631
