model,extraction,s2_layer,s1_heldout_auc_at_s2_layer,s1_best_layer,s1_heldout_auc_at_best_layer,s1_1P_heldout_at_best,s1_3P_heldout_at_best,s2_1P_heldout_at_s2_best,s2_3P_heldout_at_s2_best
Qwen_2.5_1.5B_instruct,final_token,26,0.8667499999999999,27,0.88125,0.875,0.8875,0.9435,0.9275
Qwen_2.5_1.5B_instruct,mean,21,0.8400000000000001,26,0.893,0.8875,0.8985000000000001,0.9179999999999999,0.9065
