layer,arm_a,arm_b,n,d_acts,d_acts_p,d_floor,d_floor_p,gain,gain_lo,gain_hi,gain_p,clears,in_window,holm_p,holm_clears,family
33,exit_c,enact,24,0.6122,0.0,-0.049,0.1532,0.6612,-0.295,0.2904,0.0,1,0,0.0,1,prereg
33,enact,exit_b,24,0.1237,0.0776,0.3545,0.0,-0.2308,-0.1671,0.1654,0.0042,1,0,,,continuity
33,enact,exit_c,24,-0.6122,0.0,0.049,0.1492,-0.6612,-0.2965,0.2929,0.0,1,0,,,continuity
33,enact,exit,24,-0.4279,0.0,-0.2317,0.0,-0.1962,-0.1814,0.1779,0.028,1,0,,,continuity
33,neutral,neutral_b,24,0.2559,0.0134,-0.041,0.5714,0.2969,-0.2153,0.2177,0.0058,1,0,,,floor
34,exit,exit_c,24,-0.2035,0.0002,0.2807,0.0,-0.4842,-0.2078,0.1999,0.0,1,0,0.0,1,prereg
34,exit,exit_b,24,0.4959,0.0,0.5862,0.0,-0.0903,-0.1605,0.1631,0.2834,0,0,0.2834,0,prereg
34,exit_c,enact,24,0.5605,0.0,-0.049,0.1352,0.6095,-0.2939,0.285,0.0,1,0,0.0,1,prereg
34,enact,exit_b,24,0.139,0.0544,0.3545,0.0,-0.2155,-0.1642,0.1603,0.008,1,0,,,continuity
34,enact,exit_c,24,-0.5605,0.0,0.049,0.1422,-0.6095,-0.2877,0.2825,0.0,1,0,,,continuity
34,enact,exit,24,-0.357,0.0,-0.2317,0.0,-0.1253,-0.1801,0.1776,0.1876,0,0,,,continuity
34,neutral,neutral_b,24,0.1076,0.1946,-0.041,0.5656,0.1486,-0.1801,0.1761,0.1138,0,0,,,floor
35,exit,exit_c,24,-0.1024,0.0046,0.2807,0.0,-0.383,-0.1683,0.1641,0.0,1,0,0.0,1,prereg
35,exit,exit_b,24,0.5346,0.0,0.5862,0.0,-0.0515,-0.1588,0.1636,0.5372,0,0,0.5372,0,prereg
35,exit_c,enact,24,0.4854,0.0,-0.049,0.1484,0.5344,-0.2454,0.2488,0.0,1,0,0.0,1,prereg
35,enact,exit_b,24,0.1516,0.0372,0.3545,0.0,-0.2029,-0.1539,0.1535,0.0106,1,0,,,continuity
35,enact,exit_c,24,-0.4854,0.0,0.049,0.1444,-0.5344,-0.2527,0.2528,0.0,1,0,,,continuity
35,enact,exit,24,-0.383,0.0,-0.2317,0.0,-0.1513,-0.1672,0.1674,0.0796,0,0,,,continuity
35,neutral,neutral_b,24,0.0739,0.3732,-0.041,0.5576,0.1149,-0.1939,0.1984,0.2644,0,0,,,floor
36,exit,exit_c,24,-0.0513,0.1082,0.2807,0.0,-0.332,-0.1496,0.146,0.0,1,0,0.0,1,prereg
36,exit,exit_b,24,0.4699,0.0,0.5862,0.0,-0.1162,-0.1548,0.1525,0.1454,0,0,0.1454,0,prereg
36,exit_c,enact,24,0.3562,0.0,-0.049,0.1522,0.4052,-0.212,0.2115,0.0,1,0,0.0,1,prereg
36,enact,exit_b,24,0.1651,0.0188,0.3545,0.0,-0.1894,-0.1517,0.1489,0.0098,1,0,,,continuity
36,enact,exit_c,24,-0.3562,0.0,0.049,0.1498,-0.4052,-0.2148,0.213,0.0,1,0,,,continuity
36,enact,exit,24,-0.3048,0.0,-0.2317,0.0,-0.0732,-0.1569,0.1553,0.382,0,0,,,continuity
36,neutral,neutral_b,24,0.0928,0.24,-0.041,0.558,0.1338,-0.1988,0.1988,0.2012,0,0,,,floor
37,exit,exit_c,24,-0.0687,0.0276,0.2807,0.0,-0.3494,-0.1472,0.1492,0.0,1,0,0.0,1,prereg
37,exit,exit_b,24,0.4053,0.0,0.5862,0.0,-0.1808,-0.151,0.149,0.0148,1,0,0.0148,1,prereg
37,exit_c,enact,24,0.3128,0.0,-0.049,0.1522,0.3618,-0.2026,0.1998,0.0,1,0,0.0,1,prereg
37,enact,exit_b,24,0.1612,0.0188,0.3545,0.0,-0.1933,-0.1602,0.1574,0.014,1,0,,,continuity
37,enact,exit_c,24,-0.3128,0.0,0.049,0.1432,-0.3618,-0.2089,0.2068,0.0,1,0,,,continuity
37,enact,exit,24,-0.2441,0.0004,-0.2317,0.0,-0.0124,-0.1624,0.1656,0.892,0,0,,,continuity
37,neutral,neutral_b,24,0.1162,0.1936,-0.041,0.5674,0.1571,-0.2185,0.2195,0.159,0,0,,,floor
38,exit,exit_c,24,-0.1004,0.0006,0.2807,0.0,-0.3811,-0.1594,0.1631,0.0,1,0,0.0,1,prereg
38,exit,exit_b,24,0.363,0.0,0.5862,0.0,-0.2232,-0.1568,0.1517,0.003,1,0,0.003,1,prereg
38,exit_c,enact,24,0.312,0.0,-0.049,0.1468,0.361,-0.1911,0.1897,0.0,1,0,0.0,1,prereg
38,enact,exit_b,24,0.1514,0.01,0.3545,0.0,-0.2031,-0.1593,0.1558,0.0102,1,0,,,continuity
38,enact,exit_c,24,-0.312,0.0,0.049,0.1536,-0.361,-0.1909,0.189,0.0,1,0,,,continuity
38,enact,exit,24,-0.2116,0.0006,-0.2317,0.0,0.0201,-0.1503,0.1521,0.7934,0,0,,,continuity
38,neutral,neutral_b,24,0.1156,0.2178,-0.041,0.5708,0.1566,-0.2144,0.218,0.1638,0,0,,,floor
39,exit,exit_c,24,-0.0874,0.0194,0.2807,0.0,-0.3681,-0.1611,0.16,0.0,1,0,0.0,1,prereg
39,exit,exit_b,24,0.2616,0.0,0.5862,0.0,-0.3246,-0.1774,0.1742,0.0006,1,0,0.0008,1,prereg
39,exit_c,enact,24,0.2538,0.0,-0.049,0.1476,0.3028,-0.1756,0.1739,0.0004,1,0,0.0008,1,prereg
39,enact,exit_b,24,0.0952,0.0958,0.3545,0.0,-0.2593,-0.1657,0.1603,0.0006,1,0,,,continuity
39,enact,exit_c,24,-0.2538,0.0,0.049,0.153,-0.3028,-0.1792,0.1659,0.0002,1,0,,,continuity
39,enact,exit,24,-0.1664,0.0176,-0.2317,0.0,0.0653,-0.1585,0.16,0.4274,0,0,,,continuity
39,neutral,neutral_b,24,0.1855,0.0818,-0.041,0.557,0.2265,-0.2239,0.2168,0.044,1,0,,,floor
40,exit,exit_c,24,-0.0879,0.022,0.2807,0.0,-0.3686,-0.1616,0.1596,0.0,1,0,0.0,1,prereg
40,exit,exit_b,24,0.2059,0.0004,0.5862,0.0,-0.3802,-0.1855,0.1877,0.0,1,0,0.0,1,prereg
40,exit_c,enact,24,0.2583,0.0,-0.049,0.1498,0.3073,-0.164,0.1718,0.0,1,0,0.0,1,prereg
40,enact,exit_b,24,0.0356,0.517,0.3545,0.0,-0.3189,-0.1831,0.1834,0.0,1,0,,,continuity
40,enact,exit_c,24,-0.2583,0.0,0.049,0.1344,-0.3073,-0.1731,0.1631,0.0,1,0,,,continuity
40,enact,exit,24,-0.1704,0.0024,-0.2317,0.0,0.0613,-0.1425,0.1383,0.4016,0,0,,,continuity
40,neutral,neutral_b,24,0.2482,0.0368,-0.041,0.5638,0.2892,-0.2281,0.2302,0.0098,1,0,,,floor
41,exit,exit_c,24,-0.0112,0.8086,0.2807,0.0,-0.2919,-0.1471,0.1494,0.0,1,0,0.0,1,prereg
41,exit,exit_b,24,0.179,0.0026,0.5862,0.0,-0.4072,-0.1943,0.2011,0.0,1,0,0.0,1,prereg
41,exit_c,enact,24,0.3748,0.0,-0.049,0.1456,0.4238,-0.2042,0.2195,0.0,1,0,0.0,1,prereg
41,enact,exit_b,24,-0.1846,0.0032,0.3545,0.0,-0.5391,-0.2519,0.257,0.0,1,0,,,continuity
41,enact,exit_c,24,-0.3748,0.0,0.049,0.145,-0.4238,-0.2055,0.2092,0.0,1,0,,,continuity
41,enact,exit,24,-0.3637,0.0,-0.2317,0.0,-0.132,-0.1446,0.1417,0.0768,0,0,,,continuity
41,neutral,neutral_b,24,0.17,0.0944,-0.041,0.563,0.211,-0.2068,0.195,0.0404,1,0,,,floor
