layer,arm_a,arm_b,n,d_acts,d_acts_p,d_floor,d_floor_p,gain,gain_lo,gain_hi,gain_p,clears,in_window,holm_p,holm_clears,family
10,exit,exit_b,24,0.5664,0.0,0.5862,0.0,-0.0198,-0.0546,0.0516,0.4814,0,1,0.4814,0,prereg
10,exit_c,enact,24,0.3102,0.0,-0.049,0.1486,0.3592,-0.1662,0.1637,0.0,1,1,0.0,1,prereg
10,enact,exit_b,24,0.047,0.1696,0.3545,0.0,-0.3075,-0.14,0.1391,0.0,1,1,,,continuity
10,enact,exit_c,24,-0.3102,0.0,0.049,0.1438,-0.3592,-0.163,0.1596,0.0,1,1,,,continuity
10,enact,exit,24,-0.5194,0.0,-0.2317,0.0,-0.2877,-0.1449,0.1411,0.0002,1,1,,,continuity
10,neutral,neutral_b,24,0.1176,0.0392,-0.041,0.5664,0.1585,-0.1463,0.1512,0.0374,1,1,,,floor
11,exit,exit_c,24,0.2539,0.0,0.2807,0.0,-0.0268,-0.0427,0.0421,0.2312,0,1,0.2312,0,prereg
11,exit,exit_b,24,0.769,0.0,0.5862,0.0,0.1828,-0.102,0.103,0.0,1,1,0.0,1,prereg
11,exit_c,enact,24,0.4305,0.0,-0.049,0.1536,0.4795,-0.2281,0.2282,0.0,1,1,0.0,1,prereg
11,enact,exit_b,24,0.0846,0.089,0.3545,0.0,-0.2699,-0.1463,0.1566,0.0002,1,1,,,continuity
11,enact,exit_c,24,-0.4305,0.0,0.049,0.146,-0.4795,-0.2285,0.2347,0.0,1,1,,,continuity
11,enact,exit,24,-0.6844,0.0,-0.2317,0.0,-0.4527,-0.2391,0.2368,0.0,1,1,,,continuity
11,neutral,neutral_b,24,0.109,0.1346,-0.041,0.5684,0.15,-0.1635,0.1658,0.077,0,1,,,floor
12,exit,exit_c,24,0.634,0.0,0.2807,0.0,0.3533,-0.1509,0.1544,0.0,1,1,0.0,1,prereg
12,exit,exit_b,24,0.8854,0.0,0.5862,0.0,0.2993,-0.1339,0.1389,0.0,1,1,0.0,1,prereg
12,exit_c,enact,24,0.1929,0.0,-0.049,0.145,0.2419,-0.1387,0.1367,0.0,1,1,0.0,1,prereg
12,enact,exit_b,24,0.0585,0.1268,0.3545,0.0,-0.296,-0.1575,0.1594,0.0,1,1,,,continuity
12,enact,exit_c,24,-0.1929,0.0,0.049,0.1448,-0.2419,-0.1397,0.1379,0.0,1,1,,,continuity
12,enact,exit,24,-0.8269,0.0,-0.2317,0.0,-0.5952,-0.2617,0.2593,0.0,1,1,,,continuity
12,neutral,neutral_b,24,-0.0031,0.9626,-0.041,0.5732,0.0379,-0.1296,0.1312,0.589,0,1,,,floor
13,exit,exit_c,24,0.7003,0.0,0.2807,0.0,0.4196,-0.1846,0.1776,0.0,1,1,0.0,1,prereg
13,exit,exit_b,24,1.1723,0.0,0.5862,0.0,0.5861,-0.251,0.2559,0.0,1,1,0.0,1,prereg
13,exit_c,enact,24,0.4252,0.0,-0.049,0.1472,0.4742,-0.2212,0.2153,0.0,1,1,0.0,1,prereg
13,enact,exit_b,24,0.0469,0.292,0.3545,0.0,-0.3076,-0.1512,0.1498,0.0,1,1,,,continuity
13,enact,exit_c,24,-0.4252,0.0,0.049,0.1444,-0.4742,-0.2186,0.216,0.0,1,1,,,continuity
13,enact,exit,24,-1.1254,0.0,-0.2317,0.0,-0.8937,-0.3806,0.3867,0.0,1,1,,,continuity
