model,extraction,s2_layer,s1_heldout_auc_at_s2_layer,s1_best_layer,s1_heldout_auc_at_best_layer,s1_1P_heldout_at_best,s1_3P_heldout_at_best
Gemma_2_9B_instruct,final_token,37,0.8915,10,0.93225,0.9545,0.9099999999999999
Gemma_2_9B_instruct,mean,31,0.9472499999999999,30,0.9472499999999999,0.943,0.9515
