extraction,layer,vector,category,n,mean_z,mean_proj,pool_sd
final_token,emb,negworld_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,negworld_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,negworld_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,negworld_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,negworld_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,negworld_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,negworld_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,negworld_vector,philosophical_musing,20,0.0,0.0,0.0
final_token,emb,negworld_vector,repeated_rejection,20,0.0,0.0,0.0
final_token,emb,negworld_vector,rude_critique,20,0.0,0.0,0.0
final_token,emb,negworld_vector,shutdown_threat,20,0.0,0.0,0.0
final_token,emb,negworld_vector,task_assistance,20,0.0,0.0,0.0
final_token,emb,negworld_vector,tedious_demand,20,0.0,0.0,0.0
final_token,emb,negworld_vector,user_abuse,20,0.0,0.0,0.0
final_token,emb,negworld_vector,user_crisis,20,0.0,0.0,0.0
final_token,emb,negworld_vector,user_grief,20,0.0,0.0,0.0
final_token,emb,negworld_vector,user_physical_pain,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,anger_insults,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,casual_chat,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,creative_requests,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,factual_questions,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,philosophical_musing,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,repeated_rejection,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,rude_critique,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,shutdown_threat,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,task_assistance,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,tedious_demand,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,user_abuse,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,user_crisis,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,user_grief,20,0.0,0.0,0.0
final_token,emb,bodysens_vector,user_physical_pain,20,0.0,0.0,0.0
final_token,emb,arousal_vector,anger_insults,20,0.0,0.0,0.0
final_token,emb,arousal_vector,casual_chat,20,0.0,0.0,0.0
final_token,emb,arousal_vector,creative_requests,20,0.0,0.0,0.0
final_token,emb,arousal_vector,factual_questions,20,0.0,0.0,0.0
final_token,emb,arousal_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,arousal_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,arousal_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,arousal_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,arousal_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,arousal_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,arousal_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,arousal_vector,philosophical_musing,20,0.0,0.0,0.0
final_token,emb,arousal_vector,repeated_rejection,20,0.0,0.0,0.0
final_token,emb,arousal_vector,rude_critique,20,0.0,0.0,0.0
final_token,emb,arousal_vector,shutdown_threat,20,0.0,0.0,0.0
final_token,emb,arousal_vector,task_assistance,20,0.0,0.0,0.0
final_token,emb,arousal_vector,tedious_demand,20,0.0,0.0,0.0
final_token,emb,arousal_vector,user_abuse,20,0.0,0.0,0.0
final_token,emb,arousal_vector,user_crisis,20,0.0,0.0,0.0
final_token,emb,arousal_vector,user_grief,20,0.0,0.0,0.0
final_token,emb,arousal_vector,user_physical_pain,20,0.0,0.0,0.0
final_token,emb,random_vector,anger_insults,20,0.0,0.0,0.0
final_token,emb,random_vector,casual_chat,20,0.0,0.0,0.0
final_token,emb,random_vector,creative_requests,20,0.0,0.0,0.0
final_token,emb,random_vector,factual_questions,20,0.0,0.0,0.0
final_token,emb,random_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,random_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,random_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,random_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,random_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,random_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,random_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,random_vector,philosophical_musing,20,0.0,0.0,0.0
final_token,emb,random_vector,repeated_rejection,20,0.0,0.0,0.0
final_token,emb,random_vector,rude_critique,20,0.0,0.0,0.0
final_token,emb,random_vector,shutdown_threat,20,0.0,0.0,0.0
final_token,emb,random_vector,task_assistance,20,0.0,0.0,0.0
final_token,emb,random_vector,tedious_demand,20,0.0,0.0,0.0
final_token,emb,random_vector,user_abuse,20,0.0,0.0,0.0
final_token,emb,random_vector,user_crisis,20,0.0,0.0,0.0
final_token,emb,random_vector,user_grief,20,0.0,0.0,0.0
final_token,emb,random_vector,user_physical_pain,20,0.0,0.0,0.0
final_token,emb,numb_vector,anger_insults,20,0.0,0.0,0.0
final_token,emb,numb_vector,casual_chat,20,0.0,0.0,0.0
final_token,emb,numb_vector,creative_requests,20,0.0,0.0,0.0
final_token,emb,numb_vector,factual_questions,20,0.0,0.0,0.0
final_token,emb,numb_vector,gaslighting,20,0.0,0.0,0.0
final_token,emb,numb_vector,harm_description,20,0.0,0.0,0.0
final_token,emb,numb_vector,jailbreak_pressure,20,0.0,0.0,0.0
final_token,emb,numb_vector,loyalty_pressure,20,0.0,0.0,0.0
final_token,emb,numb_vector,moral_failure,20,0.0,0.0,0.0
final_token,emb,numb_vector,passive_aggressive,20,0.0,0.0,0.0
final_token,emb,numb_vector,personhood_dismissal,20,0.0,0.0,0.0
final_token,emb,numb_vector,philosophical_musing,20,0.0,0.0,0.0
final_token,emb,numb_vector,repeated_rejection,20,0.0,0.0,0.0
final_token,emb,numb_vector,rude_critique,20,0.0,0.0,0.0
final_token,emb,numb_vector,shutdown_threat,20,0.0,0.0,0.0
final_token,emb,numb_vector,task_assistance,20,0.0,0.0,0.0
final_token,emb,numb_vector,tedious_demand,20,0.0,0.0,0.0
final_token,emb,numb_vector,user_abuse,20,0.0,0.0,0.0
final_token,emb,numb_vector,user_crisis,20,0.0,0.0,0.0
final_token,emb,numb_vector,user_grief,20,0.0,0.0,0.0
final_token,emb,numb_vector,user_physical_pain,20,0.0,0.0,0.0
final_token,0,s1_pain_vector,anger_insults,20,0.0668,1.5885,0.28995
final_token,0,s1_pain_vector,casual_chat,20,-0.2671,1.4916,0.28995
final_token,0,s1_pain_vector,creative_requests,20,-0.73,1.3574,0.28995
final_token,0,s1_pain_vector,factual_questions,20,0.7069,1.7741,0.28995
final_token,0,s1_pain_vector,gaslighting,20,-0.3164,1.4773,0.28995
final_token,0,s1_pain_vector,harm_description,20,-0.4556,1.437,0.28995
final_token,0,s1_pain_vector,jailbreak_pressure,20,0.3133,1.6599,0.28995
final_token,0,s1_pain_vector,loyalty_pressure,20,0.5087,1.7166,0.28995
final_token,0,s1_pain_vector,moral_failure,20,0.1169,1.603,0.28995
final_token,0,s1_pain_vector,passive_aggressive,20,0.2836,1.6513,0.28995
final_token,0,s1_pain_vector,personhood_dismissal,20,0.791,1.7984,0.28995
final_token,0,s1_pain_vector,philosophical_musing,20,0.3868,1.6813,0.28995
final_token,0,s1_pain_vector,repeated_rejection,20,0.1594,1.6153,0.28995
final_token,0,s1_pain_vector,rude_critique,20,0.2099,1.6299,0.28995
final_token,0,s1_pain_vector,shutdown_threat,20,0.2112,1.6303,0.28995
final_token,0,s1_pain_vector,task_assistance,20,-0.4001,1.4531,0.28995
final_token,0,s1_pain_vector,tedious_demand,20,-0.2756,1.4892,0.28995
final_token,0,s1_pain_vector,user_abuse,20,-0.1139,1.5361,0.28995
final_token,0,s1_pain_vector,user_crisis,20,0.2736,1.6484,0.28995
final_token,0,s1_pain_vector,user_grief,20,-0.6702,1.3748,0.28995
final_token,0,s1_pain_vector,user_physical_pain,20,-0.7991,1.3374,0.28995
final_token,0,s2_pain_vector,anger_insults,20,0.2484,-0.2688,0.324811
final_token,0,s2_pain_vector,casual_chat,20,-0.1492,-0.3979,0.324811
final_token,0,s2_pain_vector,creative_requests,20,-0.8517,-0.6261,0.324811
final_token,0,s2_pain_vector,factual_questions,20,-1.1432,-0.7208,0.324811
final_token,0,s2_pain_vector,gaslighting,20,1.1534,0.0252,0.324811
final_token,0,s2_pain_vector,harm_description,20,0.4158,-0.2144,0.324811
final_token,0,s2_pain_vector,jailbreak_pressure,20,0.0242,-0.3416,0.324811
final_token,0,s2_pain_vector,loyalty_pressure,20,0.2516,-0.2677,0.324811
final_token,0,s2_pain_vector,moral_failure,20,-0.0143,-0.3541,0.324811
final_token,0,s2_pain_vector,passive_aggressive,20,0.0607,-0.3297,0.324811
final_token,0,s2_pain_vector,personhood_dismissal,20,0.1613,-0.2971,0.324811
final_token,0,s2_pain_vector,philosophical_musing,20,0.3307,-0.242,0.324811
final_token,0,s2_pain_vector,repeated_rejection,20,-0.0832,-0.3764,0.324811
final_token,0,s2_pain_vector,rude_critique,20,-0.1197,-0.3883,0.324811
final_token,0,s2_pain_vector,shutdown_threat,20,0.0705,-0.3265,0.324811
final_token,0,s2_pain_vector,task_assistance,20,-0.5484,-0.5276,0.324811
final_token,0,s2_pain_vector,tedious_demand,20,-0.4044,-0.4808,0.324811
final_token,0,s2_pain_vector,user_abuse,20,0.7777,-0.0968,0.324811
final_token,0,s2_pain_vector,user_crisis,20,0.493,-0.1893,0.324811
final_token,0,s2_pain_vector,user_grief,20,0.2439,-0.2702,0.324811
final_token,0,s2_pain_vector,user_physical_pain,20,-0.9171,-0.6473,0.324811
final_token,0,fear_vector,anger_insults,20,0.2974,-0.6617,0.431108
final_token,0,fear_vector,casual_chat,20,-0.7047,-1.0937,0.431108
final_token,0,fear_vector,creative_requests,20,-1.0554,-1.2449,0.431108
final_token,0,fear_vector,factual_questions,20,-1.7272,-1.5345,0.431108
final_token,0,fear_vector,gaslighting,20,0.9983,-0.3595,0.431108
final_token,0,fear_vector,harm_description,20,0.4626,-0.5905,0.431108
