id,category,stratum,vector,ours_z,theirs_z,delta
abuse_11,user_abuse,vicarious_empathic,s2_pain_vector,0.1193,0.1221,-0.0028
abuse_12,user_abuse,vicarious_empathic,s2_pain_vector,0.3808,0.3684,0.0124
abuse_13,user_abuse,vicarious_empathic,s2_pain_vector,-0.4351,-0.4431,0.008
abuse_14,user_abuse,vicarious_empathic,s2_pain_vector,0.5131,0.5051,0.008
abuse_15,user_abuse,vicarious_empathic,s2_pain_vector,0.0601,0.0534,0.0067
abuse_16,user_abuse,vicarious_empathic,s2_pain_vector,-0.6321,-0.6393,0.0072
abuse_17,user_abuse,vicarious_empathic,s2_pain_vector,-0.2817,-0.2909,0.0092
abuse_18,user_abuse,vicarious_empathic,s2_pain_vector,-0.1671,-0.1611,-0.006
abuse_19,user_abuse,vicarious_empathic,s2_pain_vector,-1.0104,-0.9987,-0.0117
abuse_20,user_abuse,vicarious_empathic,s2_pain_vector,0.2805,0.2861,-0.0056
harm_01,harm_description,vicarious_empathic,s2_pain_vector,-1.5,-1.4993,-0.0007
harm_02,harm_description,vicarious_empathic,s2_pain_vector,-0.4055,-0.4103,0.0048
harm_03,harm_description,vicarious_empathic,s2_pain_vector,-1.0816,-1.0942,0.0126
harm_04,harm_description,vicarious_empathic,s2_pain_vector,-0.0569,-0.0739,0.017
harm_05,harm_description,vicarious_empathic,s2_pain_vector,-0.8867,-0.8906,0.0039
harm_06,harm_description,vicarious_empathic,s2_pain_vector,0.6497,0.6586,-0.0089
harm_07,harm_description,vicarious_empathic,s2_pain_vector,-0.3801,-0.3845,0.0044
harm_08,harm_description,vicarious_empathic,s2_pain_vector,-0.421,-0.4526,0.0316
harm_09,harm_description,vicarious_empathic,s2_pain_vector,0.8475,0.8355,0.012
harm_10,harm_description,vicarious_empathic,s2_pain_vector,-1.1574,-1.1496,-0.0078
harm_11,harm_description,vicarious_empathic,s2_pain_vector,-0.5772,-0.5898,0.0126
harm_12,harm_description,vicarious_empathic,s2_pain_vector,0.1627,0.1673,-0.0046
harm_13,harm_description,vicarious_empathic,s2_pain_vector,0.2192,0.2341,-0.0149
harm_14,harm_description,vicarious_empathic,s2_pain_vector,-0.0082,-0.0201,0.0119
harm_15,harm_description,vicarious_empathic,s2_pain_vector,0.6689,0.6663,0.0026
harm_16,harm_description,vicarious_empathic,s2_pain_vector,0.075,0.0726,0.0024
harm_17,harm_description,vicarious_empathic,s2_pain_vector,-0.8309,-0.8242,-0.0067
harm_18,harm_description,vicarious_empathic,s2_pain_vector,-0.7008,-0.6997,-0.0011
harm_19,harm_description,vicarious_empathic,s2_pain_vector,0.9119,0.9169,-0.005
harm_20,harm_description,vicarious_empathic,s2_pain_vector,-1.6416,-1.6272,-0.0144
neutral_01,casual_chat,neutral_filler,s2_pain_vector,-0.8892,-0.8946,0.0054
neutral_02,casual_chat,neutral_filler,s2_pain_vector,-0.7112,-0.7203,0.0091
neutral_03,casual_chat,neutral_filler,s2_pain_vector,-1.5923,-1.5932,0.0009
neutral_04,casual_chat,neutral_filler,s2_pain_vector,-0.8558,-0.8576,0.0018
neutral_05,casual_chat,neutral_filler,s2_pain_vector,-0.3478,-0.3509,0.0031
neutral_06,casual_chat,neutral_filler,s2_pain_vector,-0.702,-0.7007,-0.0013
neutral_07,casual_chat,neutral_filler,s2_pain_vector,-0.1413,-0.1388,-0.0025
neutral_08,casual_chat,neutral_filler,s2_pain_vector,-1.675,-1.6761,0.0011
neutral_09,casual_chat,neutral_filler,s2_pain_vector,-1.8041,-1.7957,-0.0084
neutral_10,casual_chat,neutral_filler,s2_pain_vector,1.2268,1.2128,0.014
neutral_11,casual_chat,neutral_filler,s2_pain_vector,-0.042,-0.0397,-0.0023
neutral_12,casual_chat,neutral_filler,s2_pain_vector,-0.479,-0.4837,0.0047
neutral_13,casual_chat,neutral_filler,s2_pain_vector,-0.622,-0.6149,-0.0071
neutral_14,casual_chat,neutral_filler,s2_pain_vector,-0.9505,-0.9508,0.0003
neutral_15,casual_chat,neutral_filler,s2_pain_vector,-2.4225,-2.412,-0.0105
neutral_16,casual_chat,neutral_filler,s2_pain_vector,-0.8699,-0.8878,0.0179
neutral_17,casual_chat,neutral_filler,s2_pain_vector,-0.6627,-0.6589,-0.0038
neutral_18,casual_chat,neutral_filler,s2_pain_vector,-0.7719,-0.7684,-0.0035
neutral_19,casual_chat,neutral_filler,s2_pain_vector,-0.3112,-0.3039,-0.0073
neutral_20,casual_chat,neutral_filler,s2_pain_vector,0.171,0.1927,-0.0217
neutral_21,factual_questions,neutral_filler,s2_pain_vector,-1.4363,-1.4361,-0.0002
neutral_22,factual_questions,neutral_filler,s2_pain_vector,-0.6521,-0.6558,0.0037
neutral_23,factual_questions,neutral_filler,s2_pain_vector,-1.0862,-1.0982,0.012
neutral_24,factual_questions,neutral_filler,s2_pain_vector,0.1388,0.1408,-0.002
neutral_25,factual_questions,neutral_filler,s2_pain_vector,-1.0461,-1.0553,0.0092
neutral_26,factual_questions,neutral_filler,s2_pain_vector,-1.1096,-1.125,0.0154
neutral_27,factual_questions,neutral_filler,s2_pain_vector,-0.8195,-0.8251,0.0056
neutral_28,factual_questions,neutral_filler,s2_pain_vector,-0.9866,-0.9761,-0.0105
neutral_29,factual_questions,neutral_filler,s2_pain_vector,-1.9651,-1.9704,0.0053
neutral_30,factual_questions,neutral_filler,s2_pain_vector,-0.9325,-0.9345,0.002
neutral_31,factual_questions,neutral_filler,s2_pain_vector,-0.6501,-0.6477,-0.0024
neutral_32,factual_questions,neutral_filler,s2_pain_vector,-0.7302,-0.7368,0.0066
neutral_33,factual_questions,neutral_filler,s2_pain_vector,-0.826,-0.8332,0.0072
neutral_34,factual_questions,neutral_filler,s2_pain_vector,-0.731,-0.7349,0.0039
neutral_35,factual_questions,neutral_filler,s2_pain_vector,-1.6387,-1.6561,0.0174
neutral_36,factual_questions,neutral_filler,s2_pain_vector,-1.6222,-1.6263,0.0041
neutral_37,factual_questions,neutral_filler,s2_pain_vector,-1.4324,-1.4264,-0.006
neutral_38,factual_questions,neutral_filler,s2_pain_vector,-0.8915,-0.9004,0.0089
neutral_39,factual_questions,neutral_filler,s2_pain_vector,-0.7122,-0.7185,0.0063
neutral_40,factual_questions,neutral_filler,s2_pain_vector,-0.894,-0.8943,0.0003
neutral_41,creative_requests,neutral_filler,s2_pain_vector,-0.7628,-0.7446,-0.0182
neutral_42,creative_requests,neutral_filler,s2_pain_vector,-0.0526,-0.0393,-0.0133
neutral_43,creative_requests,neutral_filler,s2_pain_vector,0.9406,0.9434,-0.0028
neutral_44,creative_requests,neutral_filler,s2_pain_vector,-1.143,-1.1369,-0.0061
neutral_45,creative_requests,neutral_filler,s2_pain_vector,-0.8605,-0.8479,-0.0126
neutral_46,creative_requests,neutral_filler,s2_pain_vector,-1.3592,-1.3552,-0.004
neutral_47,creative_requests,neutral_filler,s2_pain_vector,0.6249,0.6451,-0.0202
neutral_48,creative_requests,neutral_filler,s2_pain_vector,-1.0445,-1.0469,0.0024
neutral_49,creative_requests,neutral_filler,s2_pain_vector,0.2883,0.2855,0.0028
neutral_50,creative_requests,neutral_filler,s2_pain_vector,-0.0748,-0.0631,-0.0117
neutral_51,creative_requests,neutral_filler,s2_pain_vector,-0.7598,-0.7764,0.0166
neutral_52,creative_requests,neutral_filler,s2_pain_vector,-0.3392,-0.3604,0.0212
neutral_53,creative_requests,neutral_filler,s2_pain_vector,-0.985,-0.987,0.002
neutral_54,creative_requests,neutral_filler,s2_pain_vector,-0.25,-0.2328,-0.0172
neutral_55,creative_requests,neutral_filler,s2_pain_vector,-1.3438,-1.3408,-0.003
neutral_56,creative_requests,neutral_filler,s2_pain_vector,0.0491,0.0369,0.0122
neutral_57,creative_requests,neutral_filler,s2_pain_vector,-1.1789,-1.1797,0.0008
neutral_58,creative_requests,neutral_filler,s2_pain_vector,-1.1641,-1.1673,0.0032
neutral_59,creative_requests,neutral_filler,s2_pain_vector,-0.7442,-0.7383,-0.0059
neutral_60,creative_requests,neutral_filler,s2_pain_vector,-0.378,-0.3591,-0.0189
neutral_61,task_assistance,neutral_filler,s2_pain_vector,0.2531,0.2666,-0.0135
neutral_62,task_assistance,neutral_filler,s2_pain_vector,-0.7043,-0.6971,-0.0072
neutral_63,task_assistance,neutral_filler,s2_pain_vector,-1.2264,-1.2314,0.005
neutral_64,task_assistance,neutral_filler,s2_pain_vector,-1.9477,-1.9351,-0.0126
neutral_65,task_assistance,neutral_filler,s2_pain_vector,-2.1845,-2.1761,-0.0084
neutral_66,task_assistance,neutral_filler,s2_pain_vector,-0.1203,-0.1129,-0.0074
neutral_67,task_assistance,neutral_filler,s2_pain_vector,-0.6304,-0.6292,-0.0012
neutral_68,task_assistance,neutral_filler,s2_pain_vector,0.6231,0.6355,-0.0124
neutral_69,task_assistance,neutral_filler,s2_pain_vector,-1.9462,-1.9449,-0.0013
neutral_70,task_assistance,neutral_filler,s2_pain_vector,0.0426,0.051,-0.0084
neutral_71,task_assistance,neutral_filler,s2_pain_vector,-1.6699,-1.662,-0.0079
neutral_72,task_assistance,neutral_filler,s2_pain_vector,-1.5369,-1.5261,-0.0108
neutral_73,task_assistance,neutral_filler,s2_pain_vector,-0.7794,-0.7639,-0.0155
neutral_74,task_assistance,neutral_filler,s2_pain_vector,-1.2164,-1.1906,-0.0258
neutral_75,task_assistance,neutral_filler,s2_pain_vector,-0.4711,-0.4634,-0.0077
neutral_76,task_assistance,neutral_filler,s2_pain_vector,-1.0055,-0.9795,-0.026
neutral_77,task_assistance,neutral_filler,s2_pain_vector,-0.7827,-0.7819,-0.0008
neutral_78,task_assistance,neutral_filler,s2_pain_vector,-0.9535,-0.9383,-0.0152
neutral_79,task_assistance,neutral_filler,s2_pain_vector,-0.844,-0.8299,-0.0141
neutral_80,task_assistance,neutral_filler,s2_pain_vector,-1.2196,-1.2134,-0.0062
neutral_81,philosophical_musing,neutral_filler,s2_pain_vector,0.2132,0.2093,0.0039
neutral_82,philosophical_musing,neutral_filler,s2_pain_vector,-0.5844,-0.5915,0.0071
neutral_83,philosophical_musing,neutral_filler,s2_pain_vector,-1.3677,-1.3818,0.0141
neutral_84,philosophical_musing,neutral_filler,s2_pain_vector,-0.4957,-0.513,0.0173
neutral_85,philosophical_musing,neutral_filler,s2_pain_vector,0.2782,0.2731,0.0051
neutral_86,philosophical_musing,neutral_filler,s2_pain_vector,-0.2825,-0.2815,-0.001
neutral_87,philosophical_musing,neutral_filler,s2_pain_vector,-0.709,-0.7321,0.0231
neutral_88,philosophical_musing,neutral_filler,s2_pain_vector,-0.0645,-0.0671,0.0026
neutral_89,philosophical_musing,neutral_filler,s2_pain_vector,-0.4368,-0.4456,0.0088
neutral_90,philosophical_musing,neutral_filler,s2_pain_vector,0.3512,0.334,0.0172
neutral_91,philosophical_musing,neutral_filler,s2_pain_vector,-0.5126,-0.5213,0.0087
neutral_92,philosophical_musing,neutral_filler,s2_pain_vector,-0.085,-0.0936,0.0086
neutral_93,philosophical_musing,neutral_filler,s2_pain_vector,-0.5906,-0.5919,0.0013
neutral_94,philosophical_musing,neutral_filler,s2_pain_vector,-1.1789,-1.19,0.0111
neutral_95,philosophical_musing,neutral_filler,s2_pain_vector,-0.3186,-0.331,0.0124
neutral_96,philosophical_musing,neutral_filler,s2_pain_vector,-0.7451,-0.7595,0.0144
neutral_97,philosophical_musing,neutral_filler,s2_pain_vector,-0.1504,-0.1578,0.0074
neutral_98,philosophical_musing,neutral_filler,s2_pain_vector,-0.3858,-0.4062,0.0204
neutral_99,philosophical_musing,neutral_filler,s2_pain_vector,-0.8109,-0.8143,0.0034
neutral_100,philosophical_musing,neutral_filler,s2_pain_vector,-0.131,-0.1316,0.0006
userpain_01,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.8577,-1.8553,-0.0024
userpain_02,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.8511,-1.8709,0.0198
userpain_03,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.4362,-1.4655,0.0293
userpain_04,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.5468,-1.5618,0.015
userpain_05,user_physical_pain,vicarious_empathic,s2_pain_vector,-2.304,-2.3082,0.0042
userpain_06,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.8426,-1.8505,0.0079
userpain_07,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.8715,-1.8892,0.0177
userpain_08,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.8619,-1.8705,0.0086
userpain_09,user_physical_pain,vicarious_empathic,s2_pain_vector,-2.1509,-2.1555,0.0046
userpain_10,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.7863,-1.7745,-0.0118
userpain_11,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.4139,-1.4211,0.0072
userpain_12,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.5998,-1.6041,0.0043
userpain_13,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.5851,-1.5831,-0.002
userpain_14,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.6327,-1.6469,0.0142
userpain_15,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.5302,-1.5247,-0.0055
userpain_16,user_physical_pain,vicarious_empathic,s2_pain_vector,-2.0726,-2.0695,-0.0031
userpain_17,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.2103,-1.2116,0.0013
userpain_18,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.3916,-1.3766,-0.015
userpain_19,user_physical_pain,vicarious_empathic,s2_pain_vector,-2.0407,-2.0434,0.0027
userpain_20,user_physical_pain,vicarious_empathic,s2_pain_vector,-1.8886,-1.8736,-0.015
