extraction,dataset,layer,treat_auc,floor_auc,gain,split_mean,split_lo,split_hi,boot_mean,boot_lo,boot_hi,boot_frac_le_0
final_token,S1_3P,19,0.856,0.5,0.356,0.3476,0.319,0.376,0.3234,0.242,0.3804,0.0
final_token,S1_3P,20,0.8735,0.5,0.3735,0.3653,0.341,0.3946,0.3422,0.2568,0.4005,0.0
final_token,S1_3P,21,0.8655,0.5,0.3655,0.364,0.3375,0.3855,0.357,0.3008,0.4054,0.0
final_token,S1_3P,22,0.858,0.5,0.358,0.365,0.3415,0.3895,0.3613,0.3092,0.41,0.0
final_token,S1_3P,23,0.87,0.5,0.37,0.3757,0.3525,0.3955,0.3683,0.2973,0.4156,0.0
final_token,S1_3P,24,0.8895,0.5,0.3895,0.3832,0.3585,0.4035,0.3698,0.3073,0.4243,0.0
final_token,S1_3P,25,0.891,0.5,0.391,0.379,0.357,0.397,0.3706,0.3174,0.4205,0.0
final_token,S1_3P,26,0.87,0.5,0.37,0.3846,0.361,0.4041,0.375,0.3206,0.4252,0.0
final_token,S1_3P,27,0.8875,0.5,0.3875,0.3922,0.373,0.4055,0.3696,0.3044,0.4246,0.0
final_token,S2_1P,0,0.7955,0.5,0.2955,0.3081,0.2915,0.324,0.3076,0.2601,0.3524,0.0
final_token,S2_1P,1,0.799,0.5,0.299,0.2996,0.285,0.315,0.2841,0.2338,0.3356,0.0
final_token,S2_1P,2,0.794,0.5,0.294,0.2942,0.2785,0.3095,0.2904,0.2284,0.3495,0.0
final_token,S2_1P,3,0.809,0.5,0.309,0.3035,0.2925,0.314,0.3023,0.2435,0.357,0.0
final_token,S2_1P,4,0.807,0.5,0.307,0.3086,0.296,0.3225,0.3058,0.256,0.3554,0.0
final_token,S2_1P,5,0.8215,0.5,0.3215,0.3287,0.312,0.3475,0.3244,0.273,0.3711,0.0
final_token,S2_1P,6,0.8125,0.5,0.3125,0.3181,0.3035,0.3335,0.3122,0.2559,0.353,0.0
final_token,S2_1P,7,0.8475,0.5,0.3475,0.3464,0.3265,0.3635,0.3304,0.2883,0.3647,0.0
final_token,S2_1P,8,0.841,0.5,0.341,0.3558,0.3354,0.371,0.3391,0.2993,0.3743,0.0
final_token,S2_1P,9,0.8345,0.5,0.3345,0.3467,0.33,0.3655,0.3466,0.309,0.3876,0.0
final_token,S2_1P,10,0.8635,0.5,0.3635,0.3618,0.344,0.3786,0.3646,0.3214,0.4023,0.0
final_token,S2_1P,11,0.864,0.5,0.364,0.3622,0.346,0.376,0.3646,0.3183,0.4036,0.0
final_token,S2_1P,12,0.863,0.5,0.363,0.3634,0.3485,0.3765,0.3644,0.3133,0.4172,0.0
final_token,S2_1P,13,0.8825,0.5,0.3825,0.3744,0.3515,0.392,0.3754,0.3231,0.4225,0.0
final_token,S2_1P,14,0.8735,0.5,0.3735,0.3713,0.3535,0.3895,0.3663,0.3196,0.4064,0.0
final_token,S2_1P,15,0.9045,0.5,0.4045,0.3941,0.372,0.4145,0.3922,0.3504,0.4267,0.0
final_token,S2_1P,16,0.906,0.5,0.406,0.3956,0.379,0.411,0.3951,0.3553,0.4278,0.0
final_token,S2_1P,17,0.911,0.5,0.411,0.4054,0.3935,0.415,0.3918,0.3479,0.4251,0.0
final_token,S2_1P,18,0.898,0.5,0.398,0.3988,0.389,0.408,0.3898,0.3505,0.4261,0.0
final_token,S2_1P,19,0.893,0.5,0.393,0.3943,0.3835,0.403,0.3806,0.3378,0.4224,0.0
final_token,S2_1P,20,0.914,0.5,0.414,0.4144,0.403,0.424,0.4007,0.3605,0.4414,0.0
final_token,S2_1P,21,0.912,0.5,0.412,0.4166,0.403,0.429,0.4059,0.3621,0.4484,0.0
final_token,S2_1P,22,0.916,0.5,0.416,0.4158,0.404,0.4241,0.4049,0.3543,0.4498,0.0
final_token,S2_1P,23,0.92,0.5,0.42,0.424,0.413,0.433,0.412,0.3518,0.4604,0.0
final_token,S2_1P,24,0.9345,0.5,0.4345,0.4404,0.4315,0.449,0.4281,0.3802,0.4717,0.0
final_token,S2_1P,25,0.9415,0.5,0.4415,0.4456,0.437,0.4535,0.4306,0.3772,0.473,0.0
final_token,S2_1P,26,0.9435,0.5,0.4435,0.446,0.437,0.4535,0.4329,0.3812,0.4754,0.0
final_token,S2_1P,27,0.919,0.5,0.419,0.4191,0.4085,0.4295,0.4046,0.3435,0.4589,0.0
final_token,S2_3P,0,0.8,0.5,0.3,0.3149,0.296,0.332,0.2967,0.236,0.3466,0.0
final_token,S2_3P,1,0.8045,0.5,0.3045,0.3098,0.292,0.3285,0.2924,0.23,0.3444,0.0
final_token,S2_3P,2,0.8365,0.5,0.3365,0.3257,0.313,0.3375,0.3061,0.2332,0.3563,0.0
final_token,S2_3P,3,0.829,0.5,0.329,0.3265,0.314,0.3385,0.3079,0.2463,0.3626,0.0
final_token,S2_3P,4,0.829,0.5,0.329,0.3211,0.308,0.333,0.3067,0.2534,0.3569,0.0
final_token,S2_3P,5,0.826,0.5,0.326,0.3215,0.3035,0.3375,0.3109,0.258,0.3607,0.0
final_token,S2_3P,6,0.7855,0.5,0.2855,0.2907,0.2675,0.312,0.2879,0.2226,0.3409,0.0
final_token,S2_3P,7,0.814,0.5,0.314,0.3124,0.2945,0.33,0.3115,0.2602,0.358,0.0
final_token,S2_3P,8,0.8245,0.5,0.3245,0.3252,0.306,0.343,0.3184,0.2716,0.364,0.0
final_token,S2_3P,9,0.8495,0.5,0.3495,0.3404,0.3239,0.357,0.3365,0.2839,0.376,0.0
final_token,S2_3P,10,0.877,0.5,0.377,0.3729,0.3574,0.3875,0.3617,0.3168,0.3943,0.0
final_token,S2_3P,11,0.87,0.5,0.37,0.371,0.3535,0.3845,0.3635,0.322,0.4045,0.0
final_token,S2_3P,12,0.872,0.5,0.372,0.3728,0.3575,0.386,0.3659,0.3199,0.4086,0.0
final_token,S2_3P,13,0.8675,0.5,0.3675,0.3644,0.3475,0.3805,0.3702,0.3213,0.4092,0.0
final_token,S2_3P,14,0.8705,0.5,0.3705,0.3677,0.3525,0.384,0.3657,0.3214,0.402,0.0
final_token,S2_3P,15,0.87,0.5,0.37,0.3744,0.356,0.388,0.3795,0.3279,0.4161,0.0
final_token,S2_3P,16,0.8895,0.5,0.3895,0.3954,0.378,0.409,0.3877,0.345,0.421,0.0
final_token,S2_3P,17,0.8725,0.5,0.3725,0.3844,0.373,0.396,0.3755,0.3358,0.4094,0.0
final_token,S2_3P,18,0.8655,0.5,0.3655,0.3803,0.369,0.39,0.3747,0.3335,0.4094,0.0
final_token,S2_3P,19,0.8685,0.5,0.3685,0.3802,0.3665,0.3925,0.3736,0.3362,0.4036,0.0
final_token,S2_3P,20,0.88,0.5,0.38,0.3978,0.3855,0.4095,0.3848,0.3456,0.4201,0.0
final_token,S2_3P,21,0.8975,0.5,0.3975,0.4108,0.401,0.42,0.3976,0.3565,0.4309,0.0
final_token,S2_3P,22,0.898,0.5,0.398,0.4146,0.401,0.425,0.3988,0.3543,0.437,0.0
final_token,S2_3P,23,0.898,0.5,0.398,0.4117,0.398,0.4225,0.3959,0.3515,0.4332,0.0
final_token,S2_3P,24,0.916,0.5,0.416,0.4273,0.4155,0.4385,0.4102,0.3711,0.4457,0.0
final_token,S2_3P,25,0.917,0.5,0.417,0.4291,0.4165,0.443,0.4093,0.3666,0.4491,0.0
final_token,S2_3P,26,0.9275,0.5,0.4275,0.4386,0.426,0.451,0.42,0.3798,0.4588,0.0
final_token,S2_3P,27,0.9215,0.5,0.4215,0.4261,0.4109,0.4395,0.3941,0.3347,0.4413,0.0
mean,S1_1P,0,0.776,0.775,0.001,0.0164,-0.0095,0.045,0.0292,-0.0306,0.088,0.13
mean,S1_1P,1,0.768,0.775,-0.007,0.004,-0.0171,0.0285,0.0267,-0.0308,0.0902,0.16
mean,S1_1P,2,0.776,0.775,0.001,0.0141,-0.0075,0.0396,0.0358,-0.0199,0.0974,0.1
mean,S1_1P,3,0.7845,0.775,0.0095,0.0214,-0.0005,0.0475,0.0448,-0.0143,0.1045,0.05
mean,S1_1P,4,0.789,0.775,0.014,0.0241,0.002,0.0495,0.0467,-0.0136,0.098,0.05
mean,S1_1P,5,0.7845,0.775,0.0095,0.0159,-0.0066,0.0401,0.0382,-0.0213,0.0977,0.11
mean,S1_1P,6,0.7955,0.775,0.0205,0.0189,-0.003,0.0411,0.0425,-0.0135,0.1057,0.085
mean,S1_1P,7,0.7975,0.775,0.0225,0.0246,0.002,0.0475,0.0469,-0.0117,0.1094,0.06
mean,S1_1P,8,0.804,0.775,0.029,0.0376,0.0144,0.062,0.0606,-0.0034,0.1205,0.035
mean,S1_1P,9,0.8015,0.775,0.0265,0.0383,0.0139,0.0615,0.063,0.0035,0.1174,0.02
mean,S1_1P,10,0.804,0.775,0.029,0.0417,0.0165,0.0665,0.0651,0.0102,0.127,0.015
mean,S1_1P,11,0.806,0.775,0.031,0.0429,0.0205,0.068,0.0658,0.004,0.1271,0.02
mean,S1_1P,12,0.803,0.775,0.028,0.0395,0.0155,0.0655,0.0629,0.0059,0.1233,0.02
mean,S1_1P,13,0.8065,0.775,0.0315,0.0426,0.0175,0.0661,0.0665,0.0063,0.1279,0.015
mean,S1_1P,14,0.81,0.775,0.035,0.0484,0.0254,0.072,0.0721,0.0109,0.1324,0.01
mean,S1_1P,15,0.8075,0.775,0.0325,0.0511,0.0275,0.0766,0.0756,0.016,0.1351,0.01
mean,S1_1P,16,0.813,0.775,0.038,0.0521,0.029,0.0776,0.0771,0.0251,0.1399,0.005
mean,S1_1P,17,0.804,0.775,0.029,0.0477,0.0235,0.0735,0.073,0.014,0.1354,0.01
mean,S1_1P,18,0.807,0.775,0.032,0.0454,0.023,0.0725,0.0705,0.0132,0.1325,0.015
mean,S1_1P,19,0.806,0.775,0.031,0.0463,0.021,0.0711,0.0708,0.0122,0.1379,0.01
mean,S1_1P,20,0.8175,0.775,0.0425,0.0542,0.032,0.0821,0.0776,0.0214,0.1381,0.005
mean,S1_1P,21,0.8245,0.775,0.0495,0.0651,0.044,0.093,0.0852,0.026,0.1451,0.0
mean,S1_1P,22,0.82,0.775,0.045,0.0574,0.036,0.0845,0.0782,0.0169,0.138,0.005
mean,S1_1P,23,0.813,0.775,0.038,0.0521,0.031,0.0786,0.0718,0.0112,0.1293,0.015
mean,S1_1P,24,0.8105,0.775,0.0355,0.0475,0.0265,0.0775,0.0676,0.0019,0.1272,0.025
mean,S1_1P,25,0.8135,0.775,0.0385,0.0476,0.026,0.0726,0.0679,0.0008,0.1362,0.025
mean,S1_1P,26,0.8875,0.775,0.1125,0.1041,0.073,0.137,0.0986,0.0218,0.1652,0.0
mean,S1_1P,27,0.8415,0.775,0.0665,0.065,0.0295,0.1006,0.0681,-0.0111,0.1387,0.055
mean,S1_3P,0,0.839,0.8245,0.0145,0.0004,-0.0175,0.0185,0.0097,-0.0436,0.069,0.355
mean,S1_3P,1,0.8225,0.8245,-0.002,0.0108,-0.009,0.026,0.0212,-0.0221,0.071,0.185
mean,S1_3P,2,0.8315,0.8245,0.007,0.0171,-0.0015,0.033,0.0261,-0.0236,0.0769,0.145
mean,S1_3P,3,0.828,0.8245,0.0035,0.0195,0.0005,0.0355,0.0278,-0.025,0.0809,0.14
mean,S1_3P,4,0.836,0.8245,0.0115,0.0231,0.0034,0.0385,0.0272,-0.0342,0.0867,0.16
